epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90155,0,30.105,0,0,0,0,0,0,11.3257,0,0,0,0
2,3.72666,0,23.0122,0,0,0,0,0,0,11.3051,0,9.802e-06,9.802e-06,9.802e-06
3,5.5603,0,24.1553,0,0,0,0,0,0,11.2436,0,1.9208e-05,1.9208e-05,1.9208e-05
4,7.12941,0,21.5163,0,0,0,0,0,0,11.1732,0,2.8218e-05,2.8218e-05,2.8218e-05
5,8.85835,0,20.7644,0,0,0,0,0,0,11.1277,0,3.6832e-05,3.6832e-05,3.6832e-05
6,10.3833,0,21.5459,0,0,0,0,0,0,11.055,0,4.505e-05,4.505e-05,4.505e-05
7,11.8347,0,24.7269,0,0,0,0,0,0,10.9536,0,5.2872e-05,5.2872e-05,5.2872e-05
8,13.1358,0,20.5739,0,0,0,0,0,0,10.8899,0,6.0298e-05,6.0298e-05,6.0298e-05
9,14.6218,0,20.5832,0,0,0,0,0,0,10.8251,0,6.7328e-05,6.7328e-05,6.7328e-05
10,16.5027,0,20.1278,0,0,0,0,0,0,10.7366,0,7.3962e-05,7.3962e-05,7.3962e-05
11,18.2784,0,18.8754,0,0,0,0,0,0,10.6642,0,8.02e-05,8.02e-05,8.02e-05
12,20.0348,0,18.4385,0,0,0,0,0,0,10.5759,0,8.6042e-05,8.6042e-05,8.6042e-05
13,21.7432,0,18.0349,0,0,0,0,0,0,10.5075,0,9.1488e-05,9.1488e-05,9.1488e-05
14,23.5216,0,17.7229,0,0,0,0,0,0,10.4192,0,9.6538e-05,9.6538e-05,9.6538e-05
15,25.3497,0,17.7518,0,0,0,0,0,0,10.32,0,0.000101192,0.000101192,0.000101192
16,27.0265,0,17.2791,0,0,0,0,0,0,10.2056,0,0.00010545,0.00010545,0.00010545
17,28.8967,0,17.1433,0,0,0,0,0,0,10.0698,0,0.000109312,0.000109312,0.000109312
18,30.5383,0,16.7548,0,0,0,0,0,0,10.0698,0,0.000112778,0.000112778,0.000112778
19,32.3833,0,16.6657,0,0,0,0,0,0,9.90195,0,0.000115848,0.000115848,0.000115848
20,33.9446,0,16.5638,0,0,0,0,0,0,9.90195,0,0.000118522,0.000118522,0.000118522
21,35.5244,0,16.4761,0,0,0,0,0,0,9.7356,0,0.0001208,0.0001208,0.0001208
22,37.0766,0,16.4039,0,0,0,0,0,0,9.7356,0,0.000122682,0.000122682,0.000122682
23,38.7733,0,16.2284,0,0,0,0,0,0,9.56698,0,0.000124168,0.000124168,0.000124168
24,40.3575,0,16.198,0,0,0,0,0,0,9.56698,0,0.000125258,0.000125258,0.000125258
25,41.9854,0,16.1316,0,0,0,0,0,0,9.41605,0,0.000125952,0.000125952,0.000125952
26,43.5027,0,15.9499,0,0,0,0,0,0,9.41605,0,0.00012625,0.00012625,0.00012625
27,45.0749,0,15.9227,0,0,0,0,0,0,9.26667,0,0.000126152,0.000126152,0.000126152
28,46.5358,0,15.7866,0,0,0,0,0,0,9.26667,0,0.000125658,0.000125658,0.000125658
29,48.1472,0,15.7799,0,0,0,0,0,0,9.13539,0,0.000124768,0.000124768,0.000124768
30,49.6941,0,15.6098,0,0,0,0,0,0,9.13539,0,0.000123482,0.000123482,0.000123482
31,51.3675,0,15.6337,0,0,0,0,0,0,9.04435,0,0.0001218,0.0001218,0.0001218
32,52.8513,0,15.5359,0,0,0,0,0,0,9.04435,0,0.000119722,0.000119722,0.000119722
33,54.5266,0,15.4601,0,0,0,0,0,0,8.9494,0,0.000117248,0.000117248,0.000117248
34,56.0103,0,15.3641,0,0,0,0,0,0,8.9494,0,0.000114378,0.000114378,0.000114378
35,57.713,0,15.3066,0,0,0,0,0,0,8.86855,0,0.000111112,0.000111112,0.000111112
36,59.2627,0,15.1845,0,0,0,0,0,0,8.86855,0,0.00010745,0.00010745,0.00010745
37,60.8478,0,15.1778,0,0,0,0,0,0,8.78934,0,0.000103392,0.000103392,0.000103392
38,62.3341,0,15.1858,0,0,0,0,0,0,8.78934,0,9.8938e-05,9.8938e-05,9.8938e-05
39,64.1262,0,15.14,0,0,0,0,0,0,8.71739,0,9.4088e-05,9.4088e-05,9.4088e-05
40,65.7116,0,15.036,0,0,0,0,0,0,8.71739,0,8.8842e-05,8.8842e-05,8.8842e-05
41,67.3475,0,15.077,0,0,0,0,0,0,8.6614,0,8.32e-05,8.32e-05,8.32e-05
42,68.9107,0,15.0034,0,0,0,0,0,0,8.6614,0,7.7162e-05,7.7162e-05,7.7162e-05
43,70.5783,0,14.9504,0,0,0,0,0,0,8.60347,0,7.0728e-05,7.0728e-05,7.0728e-05
44,72.1142,0,14.9723,0,0,0,0,0,0,8.60347,0,6.3898e-05,6.3898e-05,6.3898e-05
45,73.7262,0,14.8934,0,0,0,0,0,0,8.55734,0,5.6672e-05,5.6672e-05,5.6672e-05
46,75.2599,0,14.9252,0,0,0,0,0,0,8.55734,0,4.905e-05,4.905e-05,4.905e-05
47,77.008,0,14.9353,0,0,0,0,0,0,8.53712,0,4.1032e-05,4.1032e-05,4.1032e-05
48,78.6367,0,14.8386,0,0,0,0,0,0,8.53712,0,3.2618e-05,3.2618e-05,3.2618e-05
49,80.3848,0,14.8987,0,0,0,0,0,0,8.52188,0,2.3808e-05,2.3808e-05,2.3808e-05
50,81.8222,0,14.8725,0,0,0,0,0,0,8.52188,0,1.4602e-05,1.4602e-05,1.4602e-05
